source_material_code,description,uom,specifications,source_system
ONGC-1000,"STUD BOLT WITH 2 HEAVY HEX NUTS 7/8"" X 5.5"" RATING CLASS 2A/2B ASTM A320 L7",SET,"ASME B18.2.1 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1001,"6"" SEAMLESS PIPE API 5L GRADE B SCH 40 API 5L",MTR,"API 5L SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1002,"ZINC PLATED STUD BOLT, 5/8"" X 3.5"", CLASS 2A/2B, ASTM A193 GRADE B7 WITH A194 2H",NOS,"ASME B18.2.2 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1003,"BLIND FLANGE SMOOTH FINISH 1"" RATING 300# ASTM A105",NOS,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1004,GATE VALVE 6 INCH 600 LB SS 316L FLEXIBLE WEDGE,PC,"API 600 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1005,"8"" BALL VALVE SS 316 1500# ASME B16.34",NOS,"ASME B16.34 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1006,"WELD NECK FLANGE RAISED FACE 4"" RATING CL 600 ASTM A182 F316L",NUMBER,"ASME B16.47 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1007,"BLIND FLANGE RAISED FACE 8"" RATING 600# ASTM A350 LF2",NOS,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1008,"GATE VALVE BOLTED BONNET 2"" RATING 300 LB ASTM A350 LF2",PC,"ASME B16.34 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1009,"10"" BLIND FLANGE ASTM A350 LF2 300LBS ASME B16.5",EA,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1010,"3"" WELD NECK FLANGE ASTM A182 F304L CL 600 DIN 2633",NOS,"DIN 2633 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1011,WELD NECK FLANGE 6IN 150# ASTM A182 F304L FLAT FACE,EA,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1012,"2"" WELD NECK FLANGE ASTM A350 LF2 600# ASME B16.5",NUMBER,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1013,"6"" GATE VALVE SS 316L CL 600 API 600",NUMBER,"API 600 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1014,"STUD BOLT 7/8"" X 5.5"" CLASS 2A/2B ASTM A193 GRADE B7 WITH A194 2H WITH 2 HEAVY HEX NUTS",EA,"ASME B18.2.2 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1015,DN 80 X DN 50 CENTRIFUGAL PUMP BRONZE 25 BAR API 610,EA,"API 610 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1016,"STUD BOLT 7/8"" X 5.5"" CLASS 2A/2B ASTM A193 GRADE B7 WITH A194 2H WITH 2 HEAVY HEX NUTS",NOS,"ASME B18.2.2 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1017,GATE VALVE DN150 600# SS 316L FLEXIBLE WEDGE,PC,"API 600 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1018,"3/4"" X 4.5"" STUD BOLT ASTM A320 L7 CLASS 2A/2B ASME B18.2.1",EA,"ASME B18.2.1 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1019,"BLIND FLANGE RAISED FACE 8"" RATING CL 600 ASTM A350 LF2",NOS,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1020,"WELD NECK FLANGE 10"" 1500# ASTM A182 F316L RAISED FACE",NUMBER,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1021,"WITH 2 HEAVY HEX NUTS STUD BOLT, 7/8"" X 5.5"", CLASS 2A/2B, ASTM A320 L7",SET,"ASME B18.2.1 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
