text_a,text_b,label,source
"STUD BOLT 5/8"" X 3.5"" ASTM A193 B7 WITH 2 NUTS A194 2H","STUD BOLT, HEXAGONAL",1.0,HUMAN_STEWARD_APPROVED
STUD BLT 5/8IN X 3.5IN A193-B7 W/ 2 HEX NUTS A194-2H,"STUD BOLT, HEXAGONAL",1.0,HUMAN_STEWARD_APPROVED
"STUD BOLT 5/8"" X 3.5"" ASTM A193 B7 WITH 2 NUTS A194 2H","STUD BOLT, HEXAGONAL",1.0,HUMAN_STEWARD_APPROVED
STUD BLT 5/8IN X 3.5IN A193-B7 W/ 2 HEX NUTS A194-2H,"STUD BOLT, HEXAGONAL",1.0,HUMAN_STEWARD_APPROVED
"STUD BOLT 5/8"" X 3.5"" ASTM A193 B7 WITH 2 NUTS A194 2H","STUD BOLT, HEXAGONAL",1.0,HUMAN_STEWARD_APPROVED
STUD BLT 5/8IN X 3.5IN A193-B7 W/ 2 HEX NUTS A194-2H,"STUD BOLT, HEXAGONAL",1.0,HUMAN_STEWARD_APPROVED
"BALL VALVE 2"" 150# STAINLESS STEEL 316L RF","BALL VALVE, SS316L, API 6D",1.0,HUMAN_STEWARD_APPROVED
"BALL VALVE 2"" 150# STAINLESS STEEL 316L RF","BALL VALVE, SS316L, API 6D",1.0,HUMAN_STEWARD_APPROVED
"WELD NECK FLANGE 2"" 150# ASTM A105 SCH 40 RF","WELD NECK FLANGE, ASTM A105, ASME B16.5",1.0,HUMAN_STEWARD_APPROVED
FLANGE WELD NECK 2 INCH CLASS 600 A105 RF,"WELD NECK FLANGE, ASTM A105, ASME B16.5",1.0,HUMAN_STEWARD_APPROVED
DN50 SPIRAL WOUND GASKET SS 304 WINDINGS 600# ASME B16.20,"SPIRAL WOUND GASKET, DN50, STAINLESS STEEL",1.0,HUMAN_STEWARD_APPROVED
DN100 SPIRAL WOUND GASKET SS 304 WINDINGS 150# ASME B16.20,"SPIRAL WOUND GASKET, DN50, STAINLESS STEEL",1.0,HUMAN_STEWARD_APPROVED
DN100 SPIRAL WOUND GASKET SS 304 WINDINGS 600 LB ASME B16.20,"SPIRAL WOUND GASKET, DN50, STAINLESS STEEL",1.0,HUMAN_STEWARD_APPROVED
"BALL VALVE 2"" 150# STAINLESS STEEL 316L RF","BALL VALVE, SS316L, API 6D",1.0,HUMAN_STEWARD_APPROVED
"BALL VALVE 2"" 150# STAINLESS STEEL 316L RF","BALL VALVE, SS316L, API 6D",1.0,HUMAN_STEWARD_APPROVED
"BALL VALVE 2"" 150# STAINLESS STEEL 316L RF","BALL VALVE, SS316L, 150#, API 6D",1.0,HUMAN_STEWARD_APPROVED
"BALL VALVE 2"" 150# STAINLESS STEEL 316L RF","BALL VALVE, SS316L, 150#, API 6D",1.0,HUMAN_STEWARD_APPROVED
"BALL VALVE 2"" 150# STAINLESS STEEL 316L RF","BALL VALVE, SS316L, 150#, API 6D",1.0,HUMAN_STEWARD_APPROVED
"BALL VALVE 2"" 150# STAINLESS STEEL 316L RF","BALL VALVE, SS316L, 150#, API 6D",1.0,HUMAN_STEWARD_APPROVED
"SPIRAL WOUND GASKET 10"" 600 LB MONEL 400 WITH INNER & OUTER RING","MONEL 400 SPIRAL WOUND GASKET, 10"", CL 600, WITH INNER & OUTER RING, STD: ASME B16.20",1.0,SYNTHETIC_MRO_CLUSTER
"SPIRAL WOUND GASKET 10"" 600 LB MONEL 400 WITH INNER & OUTER RING","SPIRAL WOUND GASKET 10"" 600# SS 304 WINDINGS WITH INNER & OUTER RING",0.0,SYNTHETIC_CRITICAL_CONFLICT
"GATE VALVE 3"" 600# SS 316L WEDGE TYPE",DN80 GATE VALVE WEDGE TYPE 600# SS 316L,1.0,SYNTHETIC_MRO_CLUSTER
